procedures,provstem,gp_prov_address_suburb,gp_prov_address_state,gp_prov_address_postcode,lon,lat
130,023223,BENTLEIGH EAST,VIC,3165,145.0594,-37.92237
394,023223,CLAYTON,VIC,3168,145.1266,-37.91342
1,023223,MELBOURNE,VIC,3000,144.9568,-37.8174
19,023223,PARKDALE,VIC,3195,145.1041,-38.00702
1,023339,MOUNT GAMBIER,SA,5290,140.7645,-37.83984
1,023344,SOUTHPORT,QLD,4215,153.3979,-27.96713
1,023396,BOWRAL,NSW,2576,150.5035,-34.52561
6,023459,ALTONA,VIC,3018,144.8127,-37.86172
230,023590,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
1,023590,GEELONG,VIC,3220,144.3465,-38.15704
1,023804,BRUNSWICK,VIC,3056,144.9601,-37.76629
73,024172,CLAYTON,VIC,3168,145.1266,-37.91342
1,024626,PARKVILLE,VIC,3052,144.9489,-37.789
1,024678,NEPEAN DISTHOSP,NSW,2750,150.6786,-33.75548
1,024911,DERBY,WA,6728,124.592,-17.09061
2,024911,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
65,024911,GEELONG,VIC,3220,144.3465,-38.15704
494,024911,PARKVILLE,VIC,3052,144.9489,-37.789
1,024911,STE 20 CARDIGAN HOUSE,VIC,3053,144.9661,-37.80357
1,024914,1989047,VIC,3101,145.0366,-37.8074
1,024996,MANLY EAST,NSW,2095,151.2947,-33.81548
1,025125,LAUNCESTON,TAS,7250,147.0776,-41.43225
1,025686,CARLTON,VIC,3053,144.9661,-37.80357
925,025686,HEIDELBERG,VIC,3084,145.0827,-37.74441
1,025722,CARLTON,VIC,3053,144.9661,-37.80357
2327,025722,PARKVILLE,VIC,3052,144.9489,-37.789
8,025799,ROMA,QLD,4455,148.6902,-26.73282
1,025799,STANTHORPE,QLD,4380,151.6754,-28.66459
87,025807,FITZROY,VIC,3065,144.9778,-37.80261
3,025818,ALBURY,NSW,2640,147.0266,-36.0162
4,025818,LISMORE HOSPITAL,NSW,2480,153.2594,-28.70649
5,025818,TIWI,NT,0810,130.877,-12.37845
108,025818,WODONGA,VIC,3690,146.8644,-36.13572
3,025881,WANGARATTA,VIC,3677,146.3306,-36.35802
107,025886,KEW,VIC,3101,145.0366,-37.8074
34,025933,ROCKHAMPTON,QLD,4700,150.9581,-23.18017
1,025975,BRIGHTON,VIC,3186,144.9963,-37.91507
12,025975,HAMPTON,VIC,3188,145.0072,-37.93889
3,026067,MALVERN,VIC,3144,145.0341,-37.85744
13,026080,HOBART,TAS,7000,147.308,-42.87835
64,026133,GLEN WAVERLEY,VIC,3150,145.1708,-37.87697
5,026133,MILDURA,VIC,3500,142.1542,-34.1931
5,026195,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
1,026315,BEDFORD PARK,SA,5042,138.575,-35.00734
63,026315,BONDI JUNCTION,NSW,2022,151.2451,-33.8964
108,026315,BROOKVALE,NSW,2100,151.2578,-33.76641
55,026315,CHATSWOOD,NSW,2067,151.1771,-33.79838
82,026315,DARLINGHURST,NSW,2010,151.2123,-33.88412
50,026315,LEICHHARDT,NSW,2040,151.1568,-33.87877
1,026315,MAROUBRA,NSW,2035,151.2413,-33.94564
1,026315,SHELL HOUSE,SA,5000,138.6086,-34.93746
1,026345,WOODVILLE,SA,5011,NULL,NULL
1,026374,BEENLEIGH RD MED CLINIC,QLD,4109,153.0574,-27.57925
7,026463,ALBANY,WA,6330,117.8633,-34.90544
18,026463,KARRATHA,WA,6714,116.3499,-21.14506
7,026463,LATROBE,TAS,7307,146.5736,-41.21049
48,026463,LIVERPOOL,NSW,2170,150.9214,-33.92839
3,026463,MILDURA,VIC,3500,142.1542,-34.1931
3,026463,TAMWORTH,NSW,2340,151.1383,-31.33359
2,026528,DARLINGHURST,NSW,2010,151.2123,-33.88412
1,026528,GLENORCHY,TAS,7010,147.2124,-42.85913
2,026528,GREENWICH,NSW,2065,151.1922,-33.82836
91,026539,BUNBURY,WA,6230,115.6492,-33.34108
1,026561,ROCKHAMPTON,QLD,4700,150.9581,-23.18017
23,026578,MURRAY BRIDGE,SA,5253,139.2736,-35.10908
53,026578,TOORAK GARDENS,SA,5065,138.634,-34.94036
157,026618,BRISBANE,QLD,4000,153.0221,-27.46839
14,026618,SPRING HILL,QLD,4000,153.0221,-27.46839
35,026734,BERRI,SA,5343,140.5562,-34.32129
194,026837,CAIRNS,QLD,4870,145.7423,-16.92376
31,026861,LINDISFARNE,TAS,7015,147.3602,-42.83903
5,026943,KINGAROY,QLD,4610,151.5226,-26.5769
15,027024,SHENTON PARK,WA,6008,115.8114,-31.9566
1,027024,SUBIACO,WA,6008,115.8114,-31.9566
257,027025,MOUNT LAWLEY,WA,6050,115.8719,-31.93057
1,027090,MAROUBRA,NSW,2035,151.2413,-33.94564
4,027103,COFFS HARBOUR,NSW,2450,152.6583,-30.09773
45,027127,BALLARAT,VIC,3350,143.8645,-37.57194
1,027127,COWES,VIC,3922,145.232,-38.48218
1,027127,OBSTETRICS AND GYNAECOLO,VIC,3500,142.1542,-34.1931
1,027127,RAMSAY SPECIALIST CLINIC,VIC,3500,142.1542,-34.1931
7,027127,ROCKHAMPTON,QLD,4700,150.9581,-23.18017
7,027127,TAREE,NSW,2430,152.5032,-31.89931
6,027127,TIWI,NT,0810,130.877,-12.37845
12,027127,WAGGA WAGGA,NSW,2650,147.3762,-35.07459
90,027333,NORTH ADELAIDE,SA,5006,138.5845,-34.91152
50,027488,NEW LAMBTON HEIG,NSW,2305,151.7065,-32.93022
1,027729,20 TULLIRA ST,QLD,4061,152.9443,-27.45085
70,027729,AUCHENFLOWER,QLD,4066,152.9641,-27.47987
1,027861,BONDI JUNCTION,NSW,2022,151.2451,-33.8964
702,027890,DARLINGHURST,NSW,2010,151.2123,-33.88412
1,027890,EDGECLIFF,NSW,2027,151.2505,-33.86897
1,027890,KOGARAH,NSW,2217,151.1404,-33.97435
13,027955,KINGSWOOD,NSW,2747,150.7394,-33.72232
163,027955,PENRITH,NSW,2750,150.6786,-33.75548
1,028196,LAUNCESTON,TAS,7250,147.0776,-41.43225
434,029218,BENTLEIGH,VIC,3204,145.0368,-37.91696
238,029218,BENTLEIGH EAST,VIC,3165,145.0594,-37.92237
